ID  lat_MERIT lon_MERIT area_MERIT
1104150 36.025  0.258 46184.3
1104200 35.492  0.675 5456.7
1104300 35.875  1.108 2174.5
1104450 36.675  2.808 1883.0
1104500 36.625  3.575 3610.8
1104530 36.808  3.858 2389.4
1104600 36.408  4.608 4040.0
1104700 36.242  6.292 1217.6
1107700 35.142  -1.458  7391.7
1107800 35.075  -1.225  1273.5
1112100 14.442  -11.425 245083.0
1112200 13.258  -11.525 14853.4
1112300 13.858  -11.058 143096.1
1112320 13.592  -10.375 98799.5
1112330 13.708  -9.542  65183.7
1112340 13.458  -9.892  16512.8
1112350 13.225  -10.792 33983.1
1112400 12.542  -11.392 8237.6
1112480 11.925  -10.625 15705.8
1112500 12.442  -10.308 21938.3
1134020 11.158  -8.558  23643.7
1134030 11.692  -8.658  70960.2
1134040 11.975  -8.242  33117.7
1134050 11.575  -8.208  25376.0
1134060 11.125  -8.192  4142.4
1134080 10.792  -7.658  8424.3
1134100 12.875  -7.542  117954.3
1134110 11.392  -7.458  14913.0
1134150 11.075  -6.842  3110.3
1134200 12.525  -6.808  31553.8
1134220 11.425  -6.575  31052.4
1134250 13.725  -6.042  131768.0
1134300 13.225  -5.892  99884.1
1134310 12.008  -5.658  14368.9
1134320 12.008  -5.658  14368.9
1134350 11.692  -5.592  3681.8
1134400 13.958  -5.375  134228.6
1134450 13.375  -4.925  111689.5
1134460 14.142  -4.975  137000.6
1134480 14.025  -4.242  130179.6
1134500 14.525  -4.208  278089.4
1134505 14.492  -4.208  132241.3
1134600 15.392  -4.242  311490.8
1134620 16.425  -3.658  2350.0
1134630 16.125  -3.742  342090.1
1134650 15.942  -3.592  851.8
1134700 16.275  -3.375  345827.4
1134705 16.258  -3.392  345823.6
1134730 16.658  -3.025  348731.8
1134850 16.942  -0.592  375402.2
1134900 15.675  0.492 489289.7
1147010 -4.292  15.275  3605686.0
1147011 -0.358  25.458  931913.1
1147012 -2.942  25.942  784988.8
1147013 -4.292  15.275  3605686.0
1147200 -3.208  17.358  744451.7
1147201 -4.342  20.575  240153.2
1159100 -28.758 17.725  788510.3
1159110 -31.808 20.358  1507.8
1159120 -31.825 20.575  1686.1
1159130 -30.475 20.525  37852.0
1159131 -31.358 21.325  13176.1
1159132 -31.658 21.775  5907.6
1159300 -28.458 21.258  354305.8
1159301 -29.658 22.742  330402.3
1159302 -29.158 23.692  99266.7
1159303 -29.808 24.442  91755.9
1159320 -29.658 25.975  2364.3
1159400 -27.575 24.742  10702.9
1159410 -27.842 25.908  17913.0
1159500 -28.492 24.608  119049.9
1159510 -27.392 26.608  7752.0
1159511 -27.392 26.625  7739.6
1159540 -27.558 26.225  1410.2
1159600 -31.025 26.325  2182.6
1159601 -31.008 26.342  2383.4
1159650 -30.675 26.708  36969.8
1159651 -30.342 27.358  24682.1
1159660 -30.825 26.925  8664.8
1159800 -26.825 28.075  38642.5
1159810 -27.292 28.492  15646.6
1159900 -27.175 29.242  4151.4
1159910 -26.858 28.892  2226.8
1160200 -30.808 18.125  2340.3
1160235 -31.858 18.692  23967.2
1160302 -34.075 20.392  9844.7
1160320 -32.508 19.542  6854.4
1160350 -33.575 20.708  2893.4
1160378 -33.308 21.642  17030.2
1160380 -33.475 23.025  4294.0
1160460 -33.725 24.625  29473.6
1160470 -33.208 24.242  1296.9
1160480 -32.242 23.042  3937.6
1160481 -32.075 23.008  3670.7
1160490 -32.992 25.158  1753.3
1160500 -33.325 26.075  1476.0
1160510 -33.092 26.442  23020.7
1160511 -31.908 25.475  9095.3
1160512 -31.908 25.425  1727.7
1160520 -31.558 25.542  1571.4
1160535 -31.975 26.008  1294.3
1160580 -33.242 26.992  29696.0
1160600 -33.192 27.392  2520.2
1160601 -32.975 26.925  1438.3
1160630 -32.708 26.292  1249.3
1160684 -32.508 28.025  18792.0
1160690 -32.058 26.792  1419.6
1160700 -29.742 29.908  1815.2
1160701 -30.175 30.708  4347.0
1160730 -31.925 26.792  2184.2
1160740 -31.925 28.458  4939.2
1160750 -29.075 30.242  1547.6
1160751 -29.025 30.358  1959.1
1160760 -31.592 28.792  1205.2
1160770 -31.042 28.892  2565.2
1160775 -30.575 29.158  2476.5
1160785 -30.558 29.425  1018.5
