GRAND_ID     LAT_c     LON_c     CATCH_SKM
4759     18.865823     73.568285     119
4920     18.77792594     75.27025365     1090
274     49.830734     -119.965095     9
294     48.81453404     -119.523232     315
343     46.1452587     -112.8019356     1200
628     34.2853     -118.4812     27
718     50.11468078     -94.8683041     125240
731     48.49969     -92.6388     38038
739     47.932504     -91.763742     3041
1059     35.61718623     -95.16768957     251
1163     33.08129     -95.039231     626
1204     31.25308733     -91.95730705     105
1333     22.6316298     -98.7371039     1122
1407     59.62751639     -109.0069537     4120
1757     36.8073715     -76.6224531     181
1850     34.3682     -85.2704     4
1940     27.85     -81.839996     8
2027     47.55678558     -72.8362435     31044
2033     46.5503576     -60.49187427     56
2113     44.23421849     -74.52915053     1937
2121     44.10987451     -74.67090524     122
2149     43.471007     -71.661525     2624
2183     42.39894492     -71.27331034     4
2193     42.00684095     -73.03815416     324
2296     6.388308     -74.994514     1540
2524     -12.56231389     -38.15997778     395
2525     -12.67444444     -38.37861111     585
2606     54.48733311     -8.101676079     4362
2928     35.684141     -5.386293     67
2931     35.700381     -5.50385     111
2944     34.63320726     -4.19030643     451
3070     63.405399     13.367863     3043
3071     63.390486     13.38367     11305
3186     58.57439183     7.353074406     1009
3215     51.24136936     7.409081473     13
3312     46.516945     10.318611     179
3334     46.53527587     10.278052     43
3395     45.70549031     8.654523572     6750
3561     36.7149184     6.6356564     345
3564     36.55024816     10.43480958     42
3596     35.29844579     -0.581649036     49
3597     35.47451074     6.937114301     579
3714     65.673691     18.14461273     6374
3722     64.65131143     15.3348896     1010
3734     58.54695983     15.07152265     6544
3749     50.95815044     21.19366247     617
3784     49.21516929     18.77771182     7085
4016     39.83580501     21.06754752     162
4104     -21.02880775     28.24557257     182
4109     -21.24290036     29.80122221     1074
4119     -22.57387754     17.12901646     140
4178     -29.04361111     23.835     12
4197     -27.66283333     27.27675     68
4215     -28.54194444     29.74472222     1739
4225     -28.89080251     27.54564105     428
4309     -33.39166667     20.33972222     10
4322     -33.79588889     20.129     2
4340     -34.179375     18.974067     5
4342     -34.18     18.975     1
4343     -34.215833     18.9725     142
4344     -34.214154     18.972917     175
4510     -17.38710658     31.42306546     85
4531     -18.275331     31.644031     125
4534     -18.76338966     32.74204746     1398
4542     -20.148653     30.625002     1688
4727     24.1697386     74.5911169     5365
4741     18.05039736     76.26466065     8
4762     18.38708476     73.61236054     105
4774     19.28221856     76.6626649     21
4810     25.513191     76.7852463     571
4819     25.42754103     78.50623803     128
4825     25.133163     86.52096     184
4911     20.59932481     82.04362458     26
4921     21.23817918     80.43758783     698
4922     20.78891321     82.17626389     145
4928     24.22466197     81.54103026     542
4948     8.6534927     77.4134359     1607
4962     18.3137656     74.93727032     414
4978     17.28605869     81.34802005     2275
5037     10.29837226     76.88113531     190
5313     34.30336508     113.1528102     23
5392     31.17614481     114.3263437     80
5449     30.17359197     115.9162296     75
5465     26.61139     111.387711     60
5783     23.33001475     116.5376755     27
6021     34.581346     126.843808     12
6188     24.23382257     121.0763392     754
6674     -38.283114     146.374716     84
6754     -35.26128812     173.882671     5
2844     38.528226     -4.099029     552
2882     37.828551     -5.043117     1496
6285     40.538341     140.258968     165
2006     50.106633     -67.94107     8044
6315     39.113595     140.901869     146
1     57.651485     -153.026649     41
2     63.774184     -135.367048     1174
3     57.062136     -135.200305     97
4     56.986785     -135.112812     81
5     58.16875     -133.728413     79
6     56.018963     -122.197841     71707
7     55.980455     -121.993837     72390
8     55.614911     -131.343076     96
9     55.444746     -129.857196     128
10     55.379617     -131.523958     10
11     55.360909     -131.621875     21
12     54.806591     -126.220377     1409
13     54.352931     -130.192667     28
14     54.198632     -130.081628     51
15     53.577061     -124.947895     13971
16     53.025141     -128.898712     140
17     52.571058     -122.287766     34
18     52.350633     -127.683474     309
19     50.838133     -122.857757     983
20     50.78838     -122.224191     3701
21     50.669241     -121.978395     1876
22     50.549053     -121.188522     172
23     50.042258     -125.341134     1429
24     50.008894     -125.385664     1403
25     49.993654     -125.58549     1161
26     49.978854     -123.141864     722
27     49.878134     -124.553185     1253
28     49.795669     -124.317037     453
29     49.714611     -123.535961     385
30     49.643115     -125.096003     444
31     49.469095     -125.103213     234
32     49.441146     -122.966292     127
33     49.361281     -123.109375     196
34     49.353871     -122.778626     185
35     49.287254     -122.485047     206
36     49.247867     -121.606293     62
37     49.231628     -122.357412     942
38     49.075481     -124.408878     77
39     49.009299     -124.219745     51
40     48.762097     -122.417583     141
41     48.732466     -121.067305     2599
42     48.714583     -121.13032     2923
43     48.647945     -121.688244     552
44     48.553012     -121.739583     749
45     48.519134     -123.701745     72
46     48.498853     -123.989583     110
47     47.97651     -121.684206     180
48     47.947917     -121.832382     17
49     47.839731     -120.024027     2378
50     47.694805     -121.687896     51
51     47.422917     -123.224023     236
52     47.412784     -121.751899     214
53     47.40625     -122.125586     19
54     47.386357     -123.604561     107
55     47.323654     -121.340171     142
56     47.277406     -121.783969     568
57     47.265956     -121.205208     164
58     47.249008     -121.072917     526
59     47.191381     -122.163202     34
60     46.86875     -121.302083     195
61     46.800766     -122.311681     758
62     46.784269     -122.717038     165
63     46.654792     -121.128322     485
64     46.53478     -122.422715     2969
65     46.503741     -122.587665     3574
66     46.465662     -122.100254     2650
67     46.363127     -122.546902     371
68     46.061944     -122.196295     1237
69     46.033147     -123.36816     42
70     45.965919     -122.333846     1544
71     45.48446     -122.080702     198
72     45.47449     -123.199777     102
73     45.45963     -121.842949     9
74     45.447907     -122.147373     275
75     45.446009     -123.396394     16
76     45.410928     -122.670669     19
77     45.244019     -122.278125     1712
78     45.17581     -121.690853     22
79     45.115163     -121.804462     125
80     44.719354     -122.247917     1129
81     44.692737     -121.231063     20563
82     44.601372     -121.281138     19826
83     44.451859     -122.547437     721
84     44.423357     -121.731411     60
85     44.418013     -122.668049     1284
86     44.307998     -122.047767     56
87     44.298084     -120.722554     754
88     44.17358     -122.328125     226
89     44.126141     -122.240036     530
90     44.117518     -123.296875     687
91     44.111562     -120.78475     6742
92     43.944837     -122.7552     476
93     43.922071     -122.805208     2589
94     43.913909     -122.750316     2569
95     43.884069     -124.112624     179
96     43.806102     -124.147263     91
97     43.78714     -122.954278     685
98     43.760449     -121.793773     675
99     43.714163     -123.05623     272
100     43.708548     -122.421703     999
101     43.68125     -121.690207     1214
102     43.500474     -121.971611     150
103     43.321502     -122.19246     452
104     43.043562     -123.556589     47
105     42.959227     -121.086072     210
106     42.84762     -123.176785     188
107     42.672829     -122.672183     1772
108     42.456756     -122.244487     26
109     42.24474     -120.509702     83
110     42.238815     -121.811463     9584
111     42.217605     -122.378342     94
112     42.200573     -121.125647     593
113     42.173159     -122.467427     27
114     42.159508     -122.606267     168
115     42.121418     -120.619107     548
116     42.054661     -123.113916     571
117     41.981246     -122.329902     10857
118     41.935837     -122.434547     11582
119     41.925594     -121.077838     1824
120     41.580335     -120.626835     299
121     41.539004     -122.376042     293
122     41.282818     -122.328648     320
123     41.221299     -120.411521     311
124     41.132236     -122.07314     1047
125     41.080791     -120.369363     67
126     41.044408     -121.984375     29
127     41.022769     -121.671875     14314
128     40.969544     -120.136727     116
129     40.848975     -121.989195     15195
130     40.839734     -120.785642     56
131     40.802949     -122.760687     1789
132     40.720459     -122.422031     19018
133     40.599432     -122.540564     514
134     40.453906     -120.942659     183
135     40.367331     -123.432155     315
136     40.282206     -121.023036     289
137     40.18168     -120.605896     182
138     40.174792     -121.087815     1259
139     40.115902     -121.144792     220
140     39.897279     -121.201337     72
141     39.8944     -120.191195     213
142     39.885247     -120.47787     109
143     39.852783     -121.577083     19
144     39.814583     -122.339583     1941
145     39.724074     -121.017848     63
146     39.585442     -122.530468     789
147     39.582613     -121.113718     63
148     39.539616     -121.481218     9301
149     39.515671     -121.626157     20
150     39.508632     -120.554463     100
151     39.473759     -120.106838     363
152     39.457142     -121.644792     69
153     39.450598     -120.290738     24
154     39.449205     -120.651504     73
155     39.419618     -120.538742     12
156     39.410033     -122.955096     741
157     39.391436     -120.095694     439
158     39.393473     -121.142593     1262
159     39.380461     -120.496074     73
160     39.3785     -120.141076     134
161     39.360383     -122.51038     264
162     39.327475     -120.642108     314
163     39.325992     -120.113874     97
164     39.324244     -121.311458     183
165     39.323946     -120.241002     41
166     39.301055     -120.597303     12
167     39.27364     -120.929889     47
168     39.241269     -121.269088     2870
169     39.197467     -123.180998     282
170     39.160972     -120.141773     1299
171     39.137297     -120.95432     272
172     39.110417     -120.46816     124
173     39.082147     -122.535917     323
174     39.061146     -120.407324     295
175     39.052137     -121.314531     733
176     39.001324     -120.309375     15
177     38.902035     -120.602019     39
178     38.867879     -120.439328     214
179     38.824184     -120.361604     73
180     38.718758     -123.011209     349
181     38.719078     -120.568702     48
182     38.710426     -121.156241     4822
183     38.706229     -120.047917     33
184     38.537099     -120.254546     92
185     38.513668     -122.106948     1493
186     38.498886     -120.213696     435
187     38.48687     -122.38011     126
188     38.358061     -122.124379     54
189     38.304594     -120.888188     141
190     38.257854     -120.850562     1506
191     38.22259     -121.022487     1619
