  ID  lat_ori  lon_ori  lat_MERIT  lon_MERIT  area_MERIT  width_MERIT  elv_MERIT
            1001        -9.9390       -66.6500        -9.9417       -66.6583     11599.6387        45.1637       104.3000
            1002        -9.7750       -65.9680        -9.7750       -65.9750     18055.1387        36.1521        95.1000
            1003        -9.7710       -65.9610        -9.7750       -65.9583     18060.1797        50.8919        95.1000
            1004        -9.8030       -65.9680        -9.8083       -65.9750     17443.3379        55.4839        95.2000
            1005        43.7570        -0.7760        43.7750        -0.8083      4046.7905        11.2500        10.2000
            1006         1.2910       -73.4440         1.2583       -73.4250      1919.7092        11.2500       205.1000
            1007         1.0110       -72.9190         1.0250       -72.8917      5915.5352        27.4500       191.3000
            1008        -1.3100        16.2500        -1.3083        16.2417     20798.0508       119.8528       295.4000
            1009        -1.0450        15.3730        -1.0417        15.3750     10185.5303        11.2500       325.1000
            1010        -3.1610       -59.4650        -3.1417       -59.4417   2919795.7500      2684.7861        11.1000
            1011        -1.9750       -53.8560        -1.9583       -53.8750   5250453.5000      4943.1694         1.9000
            1012        -3.3380       -58.7740        -3.3417       -58.7750   2923951.2500      2723.8662        10.6000
            1013        -3.8600       -61.6850        -3.8583       -61.6917   1807176.8750      2313.5879        15.5000
            1014        -2.5710       -56.8970        -2.5750       -56.8917   4453644.0000      3076.5273         7.2000
            1015        -3.2540       -59.0680        -3.2583       -59.0750   2923188.2500      2432.1069        11.1000
            1016        -1.4380       -52.0430        -1.4417       -52.0417   5313840.5000      3086.8218         0.0000
            1017        -2.2650       -54.0480        -2.2417       -54.0417   5232376.5000      3468.7231         2.0000
            1018        -1.9500       -53.8410        -1.9417       -53.8417   5250515.5000      6221.5684         1.8000
            1019        -2.3910       -54.2660        -2.3917       -54.2583   5200843.0000      2935.8079         2.2000
            1020        -2.4880       -56.5080        -2.4917       -56.5083   4511143.0000      3872.4985         6.9000
            1021        -2.0830       -54.0200        -2.0750       -54.0250   5233413.5000      3313.8779         2.0000
            1022        -1.9070       -55.5960        -1.8917       -55.5750   4671745.5000      3157.0710         4.6000
            1023        -1.9460       -55.4870        -1.9417       -55.4917   4671837.0000      2960.3040         4.4000
            1024        -2.5330       -57.1710        -2.5250       -57.1583   4453318.0000      1808.0588         7.2000
            1025        -1.5370       -52.3410        -1.5417       -52.3417   5310790.5000      4828.4502         0.3000
            1026        -2.6110       -56.7780        -2.6083       -56.7750   4453785.5000      4708.7080         7.2000
            1027        -3.3310       -58.7840        -3.3250       -58.7917   2923936.7500      3267.6863        10.6000
            1028        -2.9530       -58.1400        -2.9583       -58.1417   4370180.5000      2550.3459         7.2000
            1029        -1.9740       -54.9700        -1.9750       -54.9917     25883.2031      3792.2129         5.3000
            1030        -3.1250       -59.5390        -3.1250       -59.5417   2919731.5000      3602.8743        11.1000
            1031        -1.8300       -53.4240        -1.8250       -53.4250   5256836.0000      3570.0793         1.5000
            1032        -2.3430       -54.1160        -2.3417       -54.1083   5200962.0000      7104.0366         2.1000
            1033        -1.7410       -53.3770        -1.7750       -53.3417   5256916.5000      4286.5723         1.5000
            1034        -2.1460       -54.9300        -2.1583       -54.9083   4704106.5000      2676.2087         3.0000
            1035        -2.4050       -54.6680        -2.4083       -54.6750   5197402.0000      3638.2383         3.0000
            1036        -2.3680       -56.4160        -2.3583       -56.3917   4511366.5000      2878.1431         5.3000
            1037        -2.1230       -56.1670        -2.1417       -56.1583   4513144.0000      4844.4160         5.3000
            1038        -2.7980       -57.9480        -2.8083       -57.9250   4383673.5000      3606.7136         7.2000
            1039        -2.4070       -57.5420        -2.3917       -57.5417   4452702.5000      2228.7295         7.2000
            1040        -3.5770       -73.1260        -3.5750       -73.1250    739847.0000      1325.5427        82.3000
            1041        -3.4590       -72.1270        -3.4583       -72.1250    849146.5000       752.3370        73.1000
            1042        -4.0290       -70.1290        -4.0250       -70.1250    875972.9375      1083.3671        62.1000
            1043        -4.1810       -73.2590        -4.1750       -73.2583    716707.9375      2351.7791        86.5000
            1044        -3.8090       -70.3860        -3.8250       -70.3750    873082.3750      1054.9889        63.5000
            1045        -3.5020       -72.4750        -3.5083       -72.4750    846348.0625      1034.8906        75.4000
            1046        -3.4600       -71.7470        -3.4750       -71.7583    858987.8750      1298.5582        73.1000
            1047        -3.9280       -70.8590        -3.9417       -70.8417    867705.3125      1605.2095        67.8000
            1048        -4.1370       -73.3330        -4.1250       -73.3250    716596.8125      1235.1609        86.5000
            1049        -3.6930       -73.2350        -3.6917       -73.2417     16720.8184       859.4753        83.0000
            1050        -3.8760       -71.4590        -3.8750       -71.4583    863756.6875      1409.1904        70.3000
            1051        -3.5510       -72.3800        -3.5583       -72.3583    846484.1875      1516.2975        74.0000
            1052        -3.8770       -70.5240        -3.8750       -70.5250    872429.3125      1261.3134        64.7000
            1053        -3.9990       -71.1470        -4.0083       -71.1250    867111.8125      1162.8616        70.1000
            1054        -3.9820       -73.1810        -3.9750       -73.1917    719573.8750      1273.0880        86.5000
