ID  Lat Lon EGM96_h
1001  -9.939  -66.650 22.57
1002  -9.775  -65.968 20.26
1003  -9.771  -65.961 20.22
1004  -9.803  -65.968 20.38
1005  43.757  -0.776  48.72
1006  1.291 -73.444 22.04
1007  1.011 -72.919 20.77
1008  -1.310  16.250  -4.47
1009  -1.045  15.373  -1.94
1010  -3.161  -59.465 -13.08
1011  -1.975  -53.856 -21.60
1012  -3.338  -58.774 -14.03
1013  -3.860  -61.685 -5.93
1014  -2.571  -56.897 -15.57
1015  -3.254  -59.068 -13.89
1016  -1.438  -52.043 -23.90
1017  -2.265  -54.048 -20.92
1018  -1.950  -53.841 -21.65
1019  -2.391  -54.266 -20.58
1020  -2.488  -56.508 -16.19
1021  -2.083  -54.020 -21.43
1022  -1.907  -55.596 -21.12
1023  -1.946  -55.487 -21.43
1024  -2.533  -57.171 -15.48
1025  -1.537  -52.341 -23.43
1026  -2.611  -56.778 -15.71
1027  -3.331  -58.784 -14.05
1028  -2.953  -58.140 -15.19
1029  -1.974  -54.970 -22.48
1030  -3.125  -59.539 -12.94
1031  -1.830  -53.424 -22.01
1032  -2.343  -54.116 -20.70
1033  -1.741  -53.377 -22.21
1034  -2.146  -54.930 -21.75
1035  -2.405  -54.668 -20.59
1036  -2.368  -56.416 -16.34
1037  -2.123  -56.167 -17.49
1038  -2.798  -57.948 -15.26
1039  -2.407  -57.542 -15.97
1040  -3.577  -73.126 21.18
1041  -3.459  -72.127 20.37
1042  -4.029  -70.129 18.47
1043  -4.181  -73.259 21.19
1044  -3.809  -70.386 18.87
1045  -3.502  -72.475 20.39
1046  -3.460  -71.747 20.26
1047  -3.928  -70.859 19.95
1048  -4.137  -73.333 21.19
1049  -3.693  -73.235 21.42
1050  -3.876  -71.459 20.56
1051  -3.551  -72.380 20.48
1052  -3.877  -70.524 19.22
1053  -3.999  -71.147 20.46
1054  -3.982  -73.181 21.41
1055  -4.042  -70.116 18.46
1056  -3.514  -72.477 20.41
1057  -3.759  -71.615 20.56
1058  -3.553  -73.098 21.10
1059  37.357  66.820  -40.88
1060  39.078  63.687  -35.14
1061  38.404  64.340  -36.71
1062  37.655  65.560  -38.18
1063  40.489  70.426  -46.72
1064  36.967  68.123  -43.77
1065  36.991  67.962  -43.40
1066  44.316  66.281  -38.43
1067  40.598  62.110  -32.22
1068  37.268  67.510  -43.95
1069  43.015  67.967  -42.33
1070  39.065  63.705  -35.17
1071  39.803  62.565  -33.34
1072  -3.198  -57.111 -14.34
1073  -1.081  -69.786 13.99
1074  -0.944  -70.079 14.24
1075  0.004 -70.984 16.95
1076  0.791 -72.249 20.34
1077  -0.827  -70.264 14.53
1078  -0.493  -70.376 14.92
1079  -0.007  -71.003 16.96
1080  7.612 -70.252 -7.51
1081  39.971  44.474  21.12
1082  39.276  47.109  11.50
1083  38.924  45.785  18.64
1084  40.024  43.992  22.48
1085  38.898  46.512  16.35
1086  39.893  48.224  1.89
1087  39.608  44.847  20.47
1088  38.890  46.463  16.58
1089  40.145  43.234  25.45
1090  39.958  41.859  27.35
1091  40.020  43.953  22.59
1092  -5.418  -60.407 -6.77
1093  -7.740  -60.478 -0.71
1094  -6.840  -60.511 -2.91
1095  -8.350  -59.895 -0.80
1096  -6.201  -60.297 -5.00
1097  -8.359  -59.818 -0.99
1098  -10.336 -59.375 1.46
1099  -9.166  -59.359 -0.99
1100  -9.221  -59.371 -0.84
1101  -9.267  -59.382 -0.70
1102  -9.287  -59.386 -0.65
1103  -9.404  -59.412 -0.30
1104  -9.467  -59.426 -0.11
1105  -9.503  -59.434 0.00
1106  -9.623  -59.461 0.35
1107  1.700 26.829  -13.48
1108  1.858 26.395  -13.43
1109  1.335 24.330  -18.17
1110  1.330 24.315  -18.19
1111  1.649 27.053  -13.57
1112  1.292 23.849  -18.38
1113  1.542 25.297  -16.36
